host_id,cpe,banner,source_id
2985CF79292411EAA9F2000CB4B5C2BC,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB4B5C2BC,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB4B5C2BC,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF7929EF11EA941C000C0F500C62,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF7929EF11EA941C000C0F500C62,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF7929EF11EA941C000C0F500C62,cpe:/o:linux:linux_kernel:2.6.32,Linux Linux_kernel 2.6.32,5
2985CF7929EF11EA941C000C0F94C6EA,cpe:/a:openbsd:openssh:6.7p1,OpenSSH 6.7p1 protocol 2.0,5
2985CF7929EF11EA941C000C0F94C6EA,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF792AB811EA941C000C9D4A8BCC,cpe:/o:microsoft:windows_vista,Microsoft Windows_vista,5
2985CF792ABA11EA941C000C3002D770,cpe:/o:microsoft:windows_vista::sp1,Microsoft Windows_vista Sp1,5
2985CF792ABA11EA941C000C3002D770,cpe:/o:microsoft:windows_vista::sp2,Microsoft Windows_vista Sp2,5
2985CF792ABA11EA941C000C3024D712,cpe:/o:microsoft:windows_xp::sp2,Microsoft Windows_xp Sp2,5
2985CF792ABA11EA941C000C304E0F6A,cpe:/a:mysql:mysql,MySQL unauthorized,5
2985CF792ABA11EA941C000C304E0F6A,cpe:/a:openbsd:openssh:7.9,OpenSSH 7.9 protocol 2.0,5
2985CF792ABA11EA941C000C304E0F6A,cpe:/o:apple:iphone_os:5.0.1,Apple Iphone_os 5.0.1,5
2985CF792ABA11EA941C000C3055C912,cpe:/a:mysql:mysql,MySQL unauthorized,5
2985CF792ABA11EA941C000C3055C912,cpe:/o:freebsd:freebsd:6.3,Freebsd Freebsd 6.3,5
2985CF792ABA11EA941C000C3055C912,cpe:/o:microsoft:windows_xp::sp2,Microsoft Windows_xp Sp2,5
2985CF792ABA11EA941C000C305B1CF0,cpe:/a:goahead:goahead_webserver,GoAhead WebServer,5
2985CF792ABA11EA941C000C305B1CF0,cpe:/a:openbsd:openssh:3.4p1.rl,OpenSSH 3.4p1.RL Allied Telesis protocol 2.0,5
2985CF792ABA11EA941C000C30622374,cpe:/a:apache:http_server,Apache httpd,5
2985CF792ABA11EA941C000C30622374,cpe:/a:openbsd:openssh:6.7p1,OpenSSH 6.7p1 protocol 2.0,5
2985CF792ABA11EA941C000C30622374,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF792ABA11EA941C000C30652AD8,cpe:/a:apache:http_server,Apache httpd,5
2985CF792ABA11EA941C000C30652AD8,cpe:/a:openbsd:openssh:6.7p1,OpenSSH 6.7p1 protocol 2.0,5
2985CF792ABA11EA941C000C30652AD8,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF792B6411EA941C000CA76962E8,cpe:/a:openbsd:openssh:6.6.1,OpenSSH 6.6.1 protocol 2.0,5
2985CF792B6411EA941C000CA76962E8,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF792B8411EA941C000C2D505172,cpe:/a:openbsd:openssh:8.0,OpenSSH 8.0 protocol 2.0,5
2985CF792B8411EA941C000CCB37EC7E,cpe:/a:mysql:mysql:5.7.21,MySQL 5.7.21,5
2985CF792B8411EA941C000CCB37EC7E,cpe:/a:openbsd:openssh:7.7,OpenSSH 7.7 protocol 2.0,5
2985CF792B8411EA941C000CCB37EC7E,cpe:/o:apple:mac_os_x:10.4,Apple Mac_os_x 10.4,5
2985CF792B8411EA941C000CCB3F525C,cpe:/a:mysql:mysql,MySQL unauthorized,5
